,Unnamed: 0,text,label,pred
0,0,có cái ngu nào bằng cái ngu này?? làm việc thì cũng phải có chừng mực thôi!,Công kích,Thù ghét
1,1,"Tại kỉ năng xạo loz của thầy tăng lên , nên học sinh chăm chỉ hơn á thầy 😁",Thù ghét,Thù ghét
2,2,tổ cha nhà mấy thằng quản lý với bảo kê ngu như con lợn ! đã biết thể trạng của các em ý đều là nước nôi rất ít mà lại ko chịu cảnh giác vấn đề củi lửa .,Thù ghét,Thù ghét
3,3,Con này sao mà mất dạy quá,Thù ghét,Thù ghét
4,4,"""đập quán xong rồi còn phải đâp chủ quán cho chết mẹ nó di""",Thù ghét,Thù ghét
5,5,Chán,Công kích,Bình thường
6,6,TẠI DÂN THÍCH LÀM NÔ LỆ .CHƯA THÍCH LÀM NGƯỜI .ÔNG TRỜI CHO TỰ DO QUYẾT ĐỊNH .TẠI SAO KHÔNG CHỊU LÀM NGƯỜI MÀ LÀM CHÓ GIỮ CHẾ ĐỘ CSVN,Thù ghét,Thù ghét
7,7,"Hmm, Trời đã sinh ra Tuấn tại sao còn sinh ra Tiệp :( haizzz",Thù ghét,Bình thường
8,8,"""đừng bao_giờ đánh_giá sai người khác qua vẻ bề_ngoài đừng bao_giờ khẳng_định một điều gì đó khi chưa biết đúng sai đừng bao_giờ để đồng_tiền đi trước nhân_cách bản_thân tuy không giàu cũng chẳng phải nghèo nên chỉ cần không sống sai để lòng không hổ_thẹn""",Bình thường,Bình thường
9,9,"""đinh_huy tao đem những nước phát_triển trong khu_vực kg cs cho mầy noi gương mà học mầy còn đang hửơi địch họ đó mà quân_chủ lập_hiến còn so với phương tây nằm_mơ đi thằng đầu cặc óc chó mới là cs sáng cái miếng thịt trâu nằm giữa hai đùi má mầy đó học người_ta cách đều hành đất_nước kinh_tế thế_nào mà phát_triển hơn mầy và đời_sống người dân họ tốt hơn mầy nhiều vậy còn thể_chế chỉ là hình_thức mầy ngu hết phần chó_má mầy sinh ra đống cứt bón cây còn có giá_trị hơn sinh ra mầy cứ ăn cứt cs đến hết_đời đi con chó sống ngu thì chết ngu thôi""",Thù ghét,Thù ghét
10,10,sena cũng có có tuổi nhưng tiuooir lôn,Thù ghét,Công kích
11,11,đến cức tôi còn nhìn lần cuối rồi xả nước chứ như bọn hàn quắc đéo bh xem phim,Thù ghét,Công kích
12,12,"""bảo nv vtvtravel thử chơi lần xem khách_hàng có trầm_trồ vtvtravel dat""",Bình thường,Bình thường
13,13,"Khu đặc trị của tàu, nó muốn làm cmg thì kệ cha nó. Mấy bác cứ thích ý kiến ý cò.. :'(",Thù ghét,Thù ghét
14,14,Trung thu thời nay chỉ cho các cặp tình nhân chớ không còn dành cho thiếu nhi :)),Bình thường,Bình thường
15,15,Nội địa nó lột cái quần xì làm đéo j :)),Công kích,Công kích
16,16,CHỊ BA VÀNG NGỌC có cây nọc giữa háng,Thù ghét,Thù ghét
17,17,"""bớt sủa mà hãy hành_động đi""",Thù ghét,Công kích
18,18,"Cả cái thằng máu lồn ad nữa, dạo này cứ đăng mấy cái nhảm lồn, đ thích mua hộp cơm 200.000 thì vè nhà cắm con mẹ m cơm mà ăn, đi xăm xoi cái lồn ý à",Thù ghét,Thù ghét
19,19,"""làm_ăn lãi vl""",Công kích,Bình thường
20,20,"nghèo khổ có giúp  gì được  người  ta k mà đào mồ cuốc mả hộ vậy? ác nghiệp ,khẩu nghiệp mày",Thù ghét,Thù ghét
21,21,Gọi là phản động ba que thì lôi mấy cái ảnh của Vịt Tần ra chối :)) xong bây h lôi mẫy cái hình ra diễu cợt trong khi biển số xanh là xe như thế nào được ưu tiên như thế nào cũng đéo biết :)) ngu vcl,Công kích,Thù ghét
22,22,"an noi nhu cuc, mat nhu thu vat",Thù ghét,Thù ghét
23,23,"""tem bụi to the group rao vặt quảng_bình quảng_trị thừa_thiên huế bất_động_sản miền trung nhanh lô đất mặt_tiền cuối_cùng ngay chân cầu nhật lệ tích ngang bắc_sở hạ_tầng phát_triển thuận_tiện cho việc xây_dựng nhà kinh_doanh resort khách_sạn nhà_hàng văn_phòng giao_dịch sơ pháp_lí đầy_đủ trợ vay vốn lên đến giá_trị hệ nhanh để sở_hữu""",Bình thường,Bình thường
24,24,:)) t bên này t còn dell giám dùng tien mà s chj 3 xaolol vay nhà toàn trã góp sūa cl :))),Thù ghét,Thù ghét
25,25,"ô nhiễm ở cái thành phố Hôi Chết Mẹ thì nó bảo là sương mù xuất hiện đẹp như Đà Lạt thứ hai, còn ở Hà Nội chắc đẹp như Sapa, ờ thì Đà Lạt với Sapa nhé",Thù ghét,Thù ghét
26,26,Trường chán chả muốn nói,Bình thường,Công kích
27,27,"""uông linh kinh vl""",Công kích,Công kích
28,28,"""thật_ra thì khi ra đường thiếu phấn cũng được thiếu gì cung được chứ đừng thiếu son nhé""",Bình thường,Bình thường
29,29,Loại mày trước sau gì trời cũng đánh mày,Thù ghét,Thù ghét
30,30,"""đm nhìu khi bứt xúc vl""",Công kích,Công kích
31,31,Xin hỏi nhà tiên tri.sau đợt dịch này bọn 3/// liệu có bị tiệt chủng không,Thù ghét,Thù ghét
32,32,Chương trình quảng cáo xin đc bắt đầu,Bình thường,Bình thường
33,33,như thằng bệnh,Công kích,Thù ghét
34,34,Ad ngu như 1 con chó....xh nước nào mà ko có cướp giật.....chẳng qua là kéo giảm chứ làm cc j hết tuyệt đối.....mày ăn cức nên não mày ko phát triển hả ad!!!,Thù ghét,Thù ghét
35,35,"Ờ kệ, dăm ba kg thịt heo. 🤣😂🤣😂",Bình thường,Bình thường
36,36,Ko giống con giáp nào,Công kích,Thù ghét
37,37,"Thằng AD này, mày điên à",Thù ghét,Thù ghét
38,38,Cười sml,Bình thường,Công kích
39,39,Chị ba đẹp gái có hai hòn dái hai bên,Thù ghét,Thù ghét
40,40,"""trịnh_kiều dung nhỏ ng chứ cho na_táp có_ăn có_học mà nói như con ngu lol rứa đuỹ""",Thù ghét,Thù ghét
41,41,Người Bắc kỳ họ có khái niệm. Hy sinh đời bố củng cố đời con. Đụng đến chén cơm nhà nó mà. Cầu mong sao nó đi sớm hơn.,Thù ghét,Thù ghét
42,42,"""nhung dương trịnh_huệ trang mùng buôn may bán đắt shop xả sập sàn giày túi balo kính cho các chị đẹp chuẩn_bị du_lịch mùa hè""",Bình thường,Bình thường
43,43,Idol của tui dễ cưng quá!!!,Bình thường,Bình thường
44,44,Nam Thành cmt của ông kia chỉ mang tính chất vả vào mồm mấy đứa tự nhục lúc nào cũng nói nhật là số 1 nhật là is the best từ đó cho ta thấy thì nhật cũng chẳng phải tốt đẹp lắm,Công kích,Thù ghét
45,45,Toàn giáo án lủng mà cứ dựng lonnn là sao=)))),Công kích,Thù ghét
46,46,#VTV1 tẩy chai con đỉ Trần Mu,Thù ghét,Thù ghét
47,47,chảnh chó cách ly mà đòi phục vụ như vua .nhìn mà gét,Công kích,Thù ghét
48,48,Cái page này rần rà rùi cũng thành cái ổ phản động thôi...unlike,Bình thường,Thù ghét
49,49,"""bửn vcl xúc_phạm bộ mi nối vl""",Thù ghét,Công kích
50,50,vl :)) handsome boy,Công kích,Công kích
51,51,"ơ, e tưởng phải bằng nhiều vailon chứ :)))",Công kích,Công kích
52,52,"Mọi người cứ yên tâm ở Việt Nam Covid-19 rất khó lây, nó chỉ dễ lây khi đứng đối diện, nói thẳng bắn nước bọt vào mặt nhau thôi. Mà người Việt lại hay nói sau lưng",Thù ghét,Thù ghét
53,53,Khịa pew vl,Công kích,Công kích
54,54,Ông nói : ông là cố vấn của TT Trump  vậy trong lúc dịch bệnh khó khăn như hiện tại thì ông làm được gì cho người dân Mỹ ? Hay là ông ngồi tréo cẳng mà nói dóc ??,Bình thường,Thù ghét
55,55,"""dm tử_hình hơi phí""",Công kích,Công kích
56,56,Các bác sống nhanh vaicutt :(((,Công kích,Bình thường
57,57,"""chuẩn mẹ nó đến lúc bị_thịt xong thì than_vãn này_nọ trên đời làm gì có trai tốt đúng bọn đàn_bà""",Thù ghét,Thù ghét
58,58,"""huỳnh_lê đã bỏ zô rồi thì khoi ra nha hâhha""",Bình thường,Bình thường
59,59,Ồ. Vậy cái vụ vinashin toàn mấy ôg ngu nhỉ😁? Bạn giỏi thật,Thù ghét,Thù ghét
60,60,"""về vuòn đi ông sóm nghỉ để dân đõ khổ vì phát_ngôn ngu nhu ông""",Công kích,Thù ghét
61,61,Phúc Báo làm kiểu ta đây giàu đi chơi du lịch qua mấy vùng dịch chơi ấy mà,Công kích,Thù ghét
62,62,"""thanh_niên fa lâu năm và sắp bị bm đuổi ra khỏi nhà vì chưa lấy vợ chia_sẻ khổ_thân huhu""",Bình thường,Bình thường
63,63,"""có cái con cặ dỗi vl""",Công kích,Công kích
